script/assets/dataset_full.json
id,time Inic, time final
67702a9a-2302-46e4-98f2-2570e48bb025,0,5200
2b293f01-8cd5-4e8d-8865-fe1bfe61c794,1100,5767
ba1894ba-c0d1-49d2-99ab-bc80fef21ca8,1700,6234
edade960-9d30-4cb8-b881-af695a653c47,300,9167
7ee05bbd-e509-4038-b983-64c602ad29c9,2900,9633
1850ec72-f681-49c5-8f2a-258ba937b649,3900,10033
219301b3-b492-4bab-ab3c-75e1ac6cb93f,0,4800
2d544ba3-246e-47cb-b758-c9c112a9e70a,3700,10367
490d65f0-5a55-4038-8d58-0d46fbc12961,3300,9167
1cfc0cb9-e179-4007-9f94-32d0293fbbb4,2500,6166
a82e0259-e4cb-4f48-a427-a73a679ce661,0,3600
c264a646-c080-4fae-964a-32ae5a101b50,0,3999
0df0c1a6-5c6f-412a-a327-1a1946dc20e5,3900,11633
79876f39-cf19-4fc1-b511-3da3062a22a6,2900,6634
16927735-16c3-44d9-92f0-f3cb212c071a,1200,8200
a1c5ed05-d6d4-4fad-b15a-cdef0a800f45,4500,8833
adf281d8-aa18-4fd5-befd-c64c2e3bad99,4700,8967
2396af0a-6404-4529-93d1-d0fe69751908,300,7433
14ff5e5c-bb0e-4716-9029-bb11446bb242,0,3466
a9bdb888-6f34-418e-9500-1d72b61994fb,0,17199
73ae624c-30eb-4e71-8da7-a85f01c7ce2b,0,3533
714380f3-64d6-4feb-99b7-9266d37c0199,1600,4800
c65f07b5-ad92-45d2-954f-ee2cb0625dc4,4900,10833
5ea2abcc-3730-4890-80b1-74f9e5ac6cd3,1700,5566
ea2e7890-34d9-44a8-bf97-850f7d639db7,2100,4834
090657a4-0318-4ef9-81c8-51d2821bb28c,3900,9167
d7f1472b-f210-4aff-9183-f206db791035,5100,11433
21999493-edbf-4a7f-a4b6-a837ccbb0bbd,300,4033
970c9af3-62d3-435b-9478-215b81b41fee,5100,10633
2d2ceb7b-64e8-446e-8668-7ecaf795b548,1900,4567
2a372a3b-d866-46f5-83db-af8f66ca4fcf,3500,9700
1da53844-14a6-482a-bd73-2bc865a8dadc,3200,6666
218beabb-e89c-460d-af5a-4ac7f197e9c9,17199,20332
5065810a-0af1-4858-a212-e52664c461b4,17599,21999
884b022e-77cc-409a-b6f8-126e74cbc8bb,18599,22332
ad3a3508-d032-499f-9834-7187a362dfae,18899,23098
140ee915-ad45-46ab-8a43-1741fc9158fc,19099,23766
f449ee0b-4123-49d0-a93f-fc95ba590e70,19399,25666
300b199d-f6cb-4459-902e-bd8022c18c0b,17599,23532
5187a32f-d3c0-4b12-a278-dfafe61322a7,20699,24099
b58451a8-286e-4e2f-8b75-667e28106287,17799,22199
0e1cde1a-bff7-480c-9d08-3e6177c6084b,19699,31766
b972e4a5-6aaa-42e0-8cb2-ee3e02f41db0,21499,25499
10d773a3-763e-44e0-a1ab-c39a6157dc20,21799,25866
168d6905-8f5f-4915-81ef-5e338ec3f190,17999,21665
38377dad-cee1-440b-a7be-ff119f491632,22399,25532
1ee8d600-8482-4f3c-8f45-5beba5c6749e,19499,23765
66aa7820-c8eb-4bed-b078-eb0646a8a4e6,22599,27132
5bcd9d04-167d-4c45-80cf-5e0ee61e73c5,21799,26466
d2eb9ce7-addc-42db-9a55-840aa76ed1e0,17199,21733
6852a8fd-9e11-4d88-88d4-05908b82d63d,20199,24932
355eba38-dab0-4221-aa25-4e87d410afad,17199,20399
04ec5652-1590-4bf0-a43f-e6734d9cd204,20899,24965
8223a00f-b1e9-4644-bd65-d5a808d61e4e,20199,24732
69a90cc4-bdd0-48d1-b586-fab1dcbce9cb,20299,23966
ba84623d-99a9-4b0f-8acf-5ee44d6aa78b,31766,47566
1fac1d9d-691c-4b1e-a9fc-2f40686a4644,32466,42733
28d340b0-13a9-4b82-8263-435fbe642436,31766,48566
b3a0c537-36c8-4972-ad89-736b3884b140,31766,37232
362c252d-9698-4439-85d3-0bfc029096c9,35766,51099
a7d3307c-89f1-4172-8585-233763ff12d8,31766,35899
b124e801-1511-46b8-8295-174edb9be27d,32566,39099
3db11baa-e5b8-43bc-91d9-9b21482f9a13,32966,37499
6ffc2811-6f7f-40ed-ab2f-d59a48656d1b,33166,47633
